시도,시군구,변전소,변전소코드,154kV_차단기_전체,154kV_차단기_사용중,154kV_차단기_사용예정,154kV_차단기_여유
강원특별자치도,강릉시,북강릉,D338,8,4,1,3
강원특별자치도,강릉시,북평,4363,11,7,0,4
강원특별자치도,강릉시,영동T/P,S408,4,4,0,0
강원특별자치도,강릉시,주문진,S423,8,5,3,0
강원특별자치도,강릉시,횡계,2821,8,6,1,1
강원특별자치도,고성군,속초,2447,8,4,4,0
강원특별자치도,고성군,신양양,D440,10,8,0,2
강원특별자치도,동해시,북평,4363,11,7,0,4
강원특별자치도,삼척시,도계,S440,11,8,3,0
강원특별자치도,삼척시,삼척,S418,11,4,2,5
강원특별자치도,삼척시,태백,2510,11,9,2,0
강원특별자치도,속초시,속초,2447,8,4,4,0
강원특별자치도,속초시,신양양,D440,10,8,0,2
강원특별자치도,양구군,신양양,D440,10,8,0,2
강원특별자치도,양구군,양구,S428,6,4,2,0
강원특별자치도,양양군,신양양,D440,10,8,0,2
강원특별자치도,양양군,양양,S401,8,4,3,1
강원특별자치도,영월군,동영월,S442,10,2,5,3
강원특별자치도,영월군,신제천,2507,20,18,2,0
강원특별자치도,영월군,영월,S410,11,9,2,0
강원특별자치도,원주시,남원주,2820,7,6,1,0
강원특별자치도,원주시,동원주,D345,8,2,4,2
강원특별자치도,원주시,문막,2667,11,9,0,2
강원특별자치도,원주시,북원주,S435,10,6,3,1
강원특별자치도,원주시,서원주,D464,8,4,2,2
강원특별자치도,원주시,신제천,2507,20,18,2,0
강원특별자치도,인제군,신양양,D440,10,8,0,2
강원특별자치도,인제군,인제,S421,8,8,0,0
강원특별자치도,정선군,고한,S432,6,0,4,0
강원특별자치도,정선군,동영월,S442,10,2,5,3
강원특별자치도,정선군,신제천,2507,20,18,2,0
강원특별자치도,정선군,정선,S424,11,7,3,1
강원특별자치도,철원군,신양양,D440,10,8,0,2
강원특별자치도,철원군,철원,2525,9,7,0,2
강원특별자치도,춘천시,남춘천,2784,8,6,2,0
강원특별자치도,춘천시,북춘천,S436,12,4,4,4
강원특별자치도,춘천시,서홍천,D337,12,2,2,8
강원특별자치도,춘천시,신양양,D440,10,8,0,2
강원특별자치도,춘천시,춘천,4299,10,4,2,4
강원특별자치도,태백시,태백,2510,11,9,2,0
강원특별자치도,평창군,영월,S410,11,9,2,0
강원특별자치도,평창군,정선,S424,11,7,3,1
강원특별자치도,평창군,주진,S434,6,6,0,0
강원특별자치도,평창군,평창,2553,7,7,0,0
강원특별자치도,평창군,횡계,2821,8,6,1,1
강원특별자치도,홍천군,상남,2554,8,6,0,2
강원특별자치도,홍천군,서홍천,D337,12,2,2,8
강원특별자치도,홍천군,신양양,D440,10,8,0,2
강원특별자치도,홍천군,홍천,4257,8,8,0,0
강원특별자치도,화천군,신양양,D440,10,8,0,2
강원특별자치도,화천군,화천,S430,6,4,2,0
강원특별자치도,횡성군,둔내,D339,12,4,4,4
강원특별자치도,횡성군,신제천,2507,20,18,2,0
경기도,가평군,가평,2668,8,5,2,1
경기도,가평군,내촌,D283,12,4,0,8
경기도,가평군,서종,D290,8,4,0,4
경기도,가평군,서홍천,D337,12,2,2,8
경기도,고양시덕양구,고양,D543,8,4,4,0
경기도,고양시덕양구,능곡,S103,8,6,2,0
경기도,고양시덕양구,신덕은,S124,16,10,0,6
경기도,고양시덕양구,신파주,S136,16,6,8,2
경기도,고양시덕양구,원흥,D294,8,6,2,0
경기도,고양시덕양구,일산,2567,16,16,0,0
경기도,고양시덕양구,지도,2635,8,4,0,4
경기도,고양시덕양구,지축,E382,8,6,0,2
경기도,고양시일산동구,고양,D543,8,4,4,0
경기도,고양시일산동구,송포,2636,8,4,4,0
경기도,고양시일산동구,신덕은,S124,16,10,0,6
경기도,고양시일산동구,신파주,S136,16,6,8,2
경기도,고양시일산동구,일산,2567,16,16,0,0
경기도,고양시일산서구,고양,D543,8,4,4,0
경기도,고양시일산서구,덕이,D289,12,4,0,8
경기도,고양시일산서구,송포,2636,8,4,4,0
경기도,고양시일산서구,신덕은,S124,16,10,0,6
경기도,고양시일산서구,신파주,S136,16,6,8,2
경기도,고양시일산서구,일산,2567,16,16,0,0
경기도,고양시일산서구,호수,D553,12,6,0,6
경기도,과천시,과천,2190,8,6,2,0
경기도,광명시,광명,2550,6,5,0,1
경기도,광명시,시흥,2999,5,5,0,0
경기도,광명시,신광명,2194,19,12,0,7
경기도,광명시,천왕,S205,9,9,0,0
경기도,광주시,곤지암,S226,12,10,0,2
경기도,광주시,성현,2561,15,13,0,2
경기도,광주시,오천,D308,8,4,2,2
경기도,광주시,오포,D305,12,4,0,8
경기도,광주시,초월,S202,7,4,2,1
경기도,구리시,별내,D546,12,6,0,6
경기도,구리시,진건,D300,8,4,0,4
경기도,군포시,남군포,D333,10,9,1,0
경기도,군포시,산본,2665,8,6,2,0
경기도,군포시,서서울,2192,11,10,1,0
경기도,군포시,서서울#2,D280,10,6,4,0
경기도,군포시,의왕,2637,11,9,0,2
경기도,김포시,계양,S305,8,6,0,2
경기도,김포시,김포,SB06,8,4,3,1
경기도,김포시,소래,2569,8,4,0,4
경기도,김포시,신김포,D450,16,8,5,3
경기도,김포시,양곡,2170,7,6,1,0
경기도,김포시,양촌,SB09,9,8,0,1
경기도,김포시,장기,D318,6,4,2,0
경기도,김포시,통진,SB10,12,3,7,2
경기도,남양주시,내촌,D283,12,4,0,8
경기도,남양주시,덕소(SA),E381,10,10,0,0
경기도,남양주시,마석,S119,8,6,2,0
경기도,남양주시,미금(SA),E378,12,7,0,5
경기도,남양주시,별내,D546,12,6,0,6
경기도,남양주시,양정,2696,8,6,1,1
경기도,남양주시,진건,D300,8,4,0,4
경기도,남양주시,진접,S111,8,2,2,4
경기도,동두천시,동두천,2431,8,4,2,2
경기도,동두천시,신포천,D272,12,10,2,0
경기도,부천시,고강,SB07,8,5,3,0
경기도,부천시,도당,E004,8,5,3,0
경기도,부천시,부개,2535,8,6,0,2
경기도,부천시,부천,2176,11,11,1,-1
경기도,부천시,역곡,SB01,8,2,5,1
경기도,부천시,원미,S318,8,5,3,0
경기도,부천시,중동,2568,14,14,0,0
경기도,부천시,천왕,S205,9,9,0,0
경기도,부천시소사구,갈산,D278,11,7,4,0
경기도,부천시오정구,갈산,D278,11,7,4,0
경기도,부천시오정구,신부평,S321,18,10,2,6
경기도,부천시원미구,갈산,D278,11,7,4,0
경기도,부천시원미구,부천,2176,11,11,1,-1
경기도,성남시분당구,동판교,S231,12,9,0,3
경기도,성남시분당구,분당,2562,14,14,-6,6
경기도,성남시분당구,서판교,S232,8,6,1,1
경기도,성남시분당구,신성남,2750,11,11,0,0
경기도,성남시분당구,야탑,2814,7,4,0,3
경기도,성남시분당구,정자,S223,8,7,1,0
경기도,성남시분당구,죽전,S336,8,4,2,2
경기도,성남시수정구,동판교,S231,12,9,0,3
경기도,성남시수정구,산성,2155,8,6,0,2
